,time,instanceCode,durationMS,requete,nbLignes
141811,2021-01-31 23:24:57.630000161,OZASGBNI,6119.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672189) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141812,2021-01-31 23:25:03.836000162,OZASGBNI,6090.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141813,2021-01-31 23:25:09.986000163,OZASGBNI,6111.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672162) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141814,2021-01-31 23:25:16.140000164,OZASGBNI,6067.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141815,2021-01-31 23:25:22.336000165,OZASGBNI,6156.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672161) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141816,2021-01-31 23:25:31.791000166,OZASGBNI,7091.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",356.0
141817,2021-01-31 23:25:37.983000167,OZASGBNI,6120.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672188) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141818,2021-01-31 23:25:48.034000168,OZASGBNI,7056.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",697.0
141819,2021-01-31 23:25:54.217000169,OZASGBNI,6142.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672196) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141820,2021-01-31 23:26:02.914000170,OZASGBNI,7142.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",87.0
141821,2021-01-31 23:26:08.934000171,OZASGBNI,5978.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_8810365200) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141822,2021-01-31 23:26:15.110000172,OZASGBNI,6094.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141823,2021-01-31 23:26:21.771000173,OZASGBNI,6619.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_8810365138) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141824,2021-01-31 23:26:30.559000174,OZASGBNI,7198.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",135.0
